dataset,sample_size,noise_level,clf_type,regularization_value,train_acc,test_acc,train_std,test_std,acc_diff,k
circles,500,0.0,log_reg,0.001,0.5166666666666666,0.5,0.016666666666666673,0.0,0.016666666666666607,-
circles,500,0.0,log_reg,0.01,0.5166666666666666,0.5,0.016666666666666673,0.0,0.016666666666666607,-
circles,500,0.0,log_reg,0.1,0.5388888888888889,0.5000000000000001,0.016666666666666666,0.07745966692414832,0.03888888888888875,-
circles,500,0.0,log_reg,1,0.5422222222222222,0.5,0.024241582476968247,0.12649110640673517,0.04222222222222216,-
circles,500,0.0,log_reg,10,0.5444444444444444,0.5,0.024343224778007377,0.13416407864998736,0.0444444444444444,-
circles,500,0.0,log_reg,100,0.5444444444444444,0.5,0.024343224778007377,0.13416407864998736,0.0444444444444444,-
circles,500,0.0,log_reg,1000,0.5444444444444444,0.5,0.024343224778007377,0.13416407864998736,0.0444444444444444,-
circles,500,0.0,knn,-,1.0,1.0,0.0,0.0,0.0,1
circles,500,0.0,knn,-,0.9944444444444445,0.9400000000000001,0.005555555555555536,0.06633249580710798,0.054444444444444406,3
circles,500,0.0,knn,-,0.9544444444444444,0.89,0.010482201257840676,0.1044030650891055,0.06444444444444442,5
circles,500,0.0,knn,-,0.918888888888889,0.75,0.024870032539554887,0.16278820596099708,0.16888888888888898,7
circles,500,0.0,knn,-,0.8255555555555555,0.61,0.03260311278026934,0.13,0.2155555555555555,9
circles,500,0.0,knn,-,0.7744444444444445,0.61,0.032979604621457416,0.18138357147217055,0.1644444444444445,11
circles,500,0.0,knn,-,0.6922222222222223,0.6,0.02899552966822197,0.11832159566199232,0.09222222222222232,13
circles,500,0.0,knn,-,0.6811111111111112,0.6499999999999999,0.022249982660556427,0.15652475842498528,0.03111111111111131,15
circles,500,0.0,knn,-,0.6888888888888889,0.63,0.026759099063982873,0.17349351572897473,0.05888888888888888,17
circles,500,0.0,knn,-,0.6644444444444444,0.61,0.03744955454745049,0.157797338380595,0.054444444444444406,19
circles,500,0.0,log_reg,0.001,0.53,0.5299999999999999,0.005091750772173138,0.04582575694955839,1.1102230246251565e-16,-
circles,500,0.0,log_reg,0.01,0.53,0.5299999999999999,0.005091750772173138,0.04582575694955839,1.1102230246251565e-16,-
circles,500,0.0,log_reg,0.1,0.48999999999999994,0.39,0.051267875533597004,0.12206555615733702,0.09999999999999992,-
circles,500,0.0,log_reg,1,0.5188888888888888,0.45999999999999996,0.029418227321941614,0.11135528725660043,0.05888888888888888,-
circles,500,0.0,log_reg,10,0.5233333333333332,0.47000000000000003,0.026504134315281258,0.1345362404707371,0.05333333333333318,-
circles,500,0.0,log_reg,100,0.5233333333333332,0.47000000000000003,0.026504134315281258,0.1345362404707371,0.05333333333333318,-
circles,500,0.0,log_reg,1000,0.5233333333333332,0.47000000000000003,0.026504134315281258,0.1345362404707371,0.05333333333333318,-
circles,500,0.0,knn,-,1.0,0.95,0.0,0.06708203932499368,0.050000000000000044,1
circles,500,0.0,knn,-,0.9744444444444446,0.8800000000000001,0.008678055195451827,0.17776388834631177,0.09444444444444444,3
circles,500,0.0,knn,-,0.9266666666666667,0.8,0.015869840952317426,0.17888543819998318,0.1266666666666667,5
circles,500,0.0,knn,-,0.8566666666666668,0.76,0.0201537301635745,0.17435595774162696,0.09666666666666679,7
circles,500,0.0,knn,-,0.8255555555555555,0.73,0.03183677507087644,0.16155494421403513,0.0955555555555555,9
circles,500,0.0,knn,-,0.7822222222222222,0.6799999999999999,0.04422166387140534,0.12489995996796797,0.10222222222222221,11
circles,500,0.0,knn,-,0.7411111111111112,0.6399999999999999,0.022249982660556448,0.16852299546352717,0.10111111111111126,13
circles,500,0.0,knn,-,0.7,0.63,0.023306863292670017,0.20518284528683192,0.06999999999999995,15
circles,500,0.0,knn,-,0.6822222222222222,0.55,0.024444444444444456,0.20124611797498107,0.13222222222222213,17
circles,500,0.0,knn,-,0.6733333333333335,0.58,0.02119864892037656,0.18330302779823363,0.09333333333333349,19
circles,500,0.0,log_reg,0.001,0.55,0.5499999999999999,0.005555555555555592,0.04999999999999999,1.1102230246251565e-16,-
circles,500,0.0,log_reg,0.01,0.55,0.5499999999999999,0.005555555555555592,0.04999999999999999,1.1102230246251565e-16,-
circles,500,0.0,log_reg,0.1,0.5677777777777777,0.5599999999999999,0.026034165586355525,0.06633249580710798,0.007777777777777772,-
circles,500,0.0,log_reg,1,0.5899999999999999,0.55,0.021343747458109512,0.10246950765959596,0.039999999999999813,-
circles,500,0.0,log_reg,10,0.5788888888888888,0.55,0.02354402233379678,0.12041594578792293,0.028888888888888742,-
circles,500,0.0,log_reg,100,0.5788888888888888,0.55,0.022470831573507447,0.12041594578792293,0.028888888888888742,-
circles,500,0.0,log_reg,1000,0.5777777777777777,0.55,0.02277100170213246,0.12041594578792293,0.02777777777777768,-
circles,500,0.0,knn,-,1.0,0.99,0.0,0.029999999999999992,0.010000000000000009,1
circles,500,0.0,knn,-,0.9811111111111112,0.8800000000000001,0.007114582486036521,0.09797958971132713,0.10111111111111104,3
